cat_id,category,title,author,content,thread_id,post_id,msg_num,replier,msg,vote_score,reaction_count,quote_post_id
17,旅遊台,既然紅的可以咁寸拒絕過海 點解唔加多隻色區分？,高質李依,"啲紅的佬又可以拒絕過海，又可以九龍港島任佢載客咁著數？<img src=""/assets/faces/dragon/spit.gif"" class=""hkgmoji"" />",3700073,bcd350865c6f769c7652e44c32a21750ecfc7566,2,戴住手套打JJ,"加多個黑色的士
唔跨區 咁大家截車都識分啦",57,57,
17,旅遊台,既然紅的可以咁寸拒絕過海 點解唔加多隻色區分？,高質李依,"啲紅的佬又可以拒絕過海，又可以九龍港島任佢載客咁著數？<img src=""/assets/faces/dragon/spit.gif"" class=""hkgmoji"" />",3700073,775c8f7b7b3181ee0171e737bf5c802a244d7cfe,3,圓覺勇,好提議 出多隻色,14,14,
