cat_id,category,title,author,content,thread_id,post_id,msg_num,replier,msg,vote_score,reaction_count,quote_post_id
5,時事台,台灣殺人未遂犯逃脫 連日搭巴士及捷運列車出現台北等地 雙北學校繼續停課以防萬一！,鹿特丹斯巴光年,"<img src=""/assets/faces/normal/shocking.gif"" class=""hkgmoji"" />",3702503,b5fcd0077b3d4734e4054732de9a8388678c088d,5,麥麥(高雞(植樂,一入到黎 成個po都係五毛,-6,14,
5,時事台,台灣殺人未遂犯逃脫 連日搭巴士及捷運列車出現台北等地 雙北學校繼續停課以防萬一！,鹿特丹斯巴光年,"<img src=""/assets/faces/normal/shocking.gif"" class=""hkgmoji"" />",3702503,09b2ab906c3e32e3469ceb0f5a8fa1b3552f627c,7,PO578,"民進黨做緊咩<img src=""/assets/faces/dog/haha.gif"" class=""hkgmoji"" />",-14,26,
5,時事台,台灣殺人未遂犯逃脫 連日搭巴士及捷運列車出現台北等地 雙北學校繼續停課以防萬一！,鹿特丹斯巴光年,"<img src=""/assets/faces/normal/shocking.gif"" class=""hkgmoji"" />",3702503,e3dd1746abff6875522fc5c0848e8938a9024787,19,3z,"菜媽媽既社會安全網又失靈，啲錢用咗去邊<img src=""/assets/faces/lomoji/23.png"" class=""hkgmoji"" />",-2,10,
